season,episode_num_in_season,title,directed_by,written_by,imdb_rating,desc,us_viewers,Rachel,Ross,Joey,Chandler,Monica,Phoebe
1,1,The One Where Monica Gets a Roommate,James Burrows,David Crane & Marta Kauffman,8.3,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",21500000,1,0,0,0,1,0
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,8,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,20200000,1,1,0,0,1,0
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,8.1,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,19500000,0,0,0,1,1,1
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,8.1,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",19700000,0,1,1,1,0,0
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,8.4,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",18600000,1,1,1,1,1,0
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,8.1,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,18200000,1,0,1,1,1,0
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,9,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",23500000,1,1,0,1,0,0
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,8.1,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,21100000,0,1,0,1,1,0
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,8.2,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,23100000,1,0,0,0,1,0
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,8,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,19900000,0,1,0,0,0,1
